Respondent,Gender,Age,T1 B= ToM*,T2 Y = ToM,TOM 1,TOM 2,ToM Both,AOI-Name,Hit time-G (ms),Time spent-G (ms),Time spent-G (%),Respondent ratio-G,Revisit-G (Revisitors),Revisit-G (Visitors),Revisit-G (Revisits),TTFF-F (ms),Time spent-F (ms),Time spent-F (%),Revisit-F (Revisitors),Revisit-F (Visitors),Revisit-F (Revisits),Fixations Count,,,,Respondent,Gender,Age,T1 B= ToM*,T2 Y = ToM,TOM 1,TOM 2,ToM Both,AOI-Name,Hit time-G (ms),Time spent-G (ms),Time spent-G (%),Respondent ratio-G,Revisit-G (Revisitors),Revisit-G (Visitors),Revisit-G (Revisits),TTFF-F (ms),Time spent-F (ms),Time spent-F (%),Revisit-F (Revisitors),Revisit-F (Visitors),Revisit-F (Revisits),Fixations Count
974787,Female,5,Y,R,NO,No,no,ToM2 Eyes,164067,409,11,1,0,1,0,164067,328,9,0,1,0,1,,,,974722,Male,11,B,Y,ToM,ToM,Yes,ToM2 Eyes,163568,2232,62,1,1,1,3,164003,1517,42,1,1,3,5
974790,Male,7,Y,R,NO,No,no,ToM2 Eyes,163565,976,27,1,0,1,0,163968,496,14,0,1,0,2,,,,974723,Male,6,B,Y,ToM,ToM,Yes,ToM2 Eyes,164311,226,6,1,0,1,0,164386,112,3,0,1,0,1
974792,Male,5,Y,R,NO,No,no,ToM2 Eyes,164229,505,14,1,0,1,0,164322,251,7,0,1,0,1,,,,974725,Female,11,B,Y,ToM,ToM,Yes,ToM2 Eyes,163899,687,19,1,0,1,0,163899,614,17,0,1,0,2
,,,,,,,,,,,,,,,,,,,,,,,,,,974728,Male,9,B,Y,ToM,ToM,Yes,ToM2 Eyes,164228,1039,29,1,1,1,2,166370,671,19,0,1,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,974729,Female,7,B,Y,ToM,ToM,Yes,ToM2 Eyes,166846,503,14,1,0,1,0,166846,330,9,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974730,Male,11,B,Y,ToM,ToM,Yes,ToM2 Eyes,164110,238,7,1,1,1,2,3600,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,974733,Male,7,B,Y,ToM,ToM,Yes,ToM2 Eyes,164247,451,13,1,0,1,0,164247,456,13,1,1,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,974734,Female,10,B,Y,ToM,ToM,Yes,ToM2 Eyes,163931,2669,74,1,1,1,2,163931,1791,50,1,1,3,5
,,,,,,,,,,,,,,,,,,,,,,,,,,974735,Female,11,B,Y,ToM,ToM,Yes,ToM2 Eyes,164137,814,23,1,1,1,2,164176,445,12,1,1,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,974736,Female,9,B,Y,ToM,ToM,Yes,ToM2 Eyes,163583,1209,34,1,1,1,2,166819,192,5,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974739,Female,11,B,Y,ToM,ToM,Yes,ToM2 Eyes,0,99,3,1,0,0,0,167069,427,12,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974741,Male,7,B,Y,ToM,ToM,Yes,ToM2 Eyes,164067,182,5,1,0,1,0,3600,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,974747,Male,9,B,Y,ToM,ToM,Yes,ToM2 Eyes,163598,1928,54,1,1,1,4,164392,1060,29,1,1,4,6
,,,,,,,,,,,,,,,,,,,,,,,,,,974748,Male,9,B,Y,ToM,ToM,Yes,ToM2 Eyes,163957,586,16,1,0,1,0,164249,271,8,1,1,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,974750,Female,7,B,Y,ToM,ToM,Yes,ToM2 Eyes,164380,350,10,1,0,1,0,3600,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,974752,Male,12,B,Y,ToM,ToM,Yes,ToM2 Eyes,164003,497,14,1,0,1,0,164039,283,8,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974753,Male,10,B,Y,ToM,ToM,Yes,ToM2 Eyes,163992,526,15,1,0,1,0,163913,527,15,0,1,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,974755,Female,7,B,Y,ToM,ToM,Yes,ToM2 Eyes,164130,387,11,1,0,1,0,164285,117,3,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974756,Male,10,B,Y,ToM,ToM,Yes,ToM2 Eyes,163589,748,21,1,0,1,0,163633,231,6,1,1,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,974757,Male,10,B,Y,ToM,ToM,Yes,ToM2 Eyes,163924,2273,63,1,1,1,2,164885,795,22,1,1,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,974759,Male,9,B,Y,ToM,ToM,Yes,ToM2 Eyes,163861,845,23,1,0,1,0,164103,459,13,0,1,0,2
,,,,,,,,,,,,,,,,,,,,,,,,,,974761,Male,11,B,Y,ToM,ToM,Yes,ToM2 Eyes,163991,457,13,1,0,1,0,164211,147,4,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974765,Male,8,B,Y,ToM,ToM,Yes,ToM2 Eyes,164123,477,13,1,0,1,0,164161,400,11,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974766,Male,6,B,Y,ToM,ToM,Yes,ToM2 Eyes,163579,888,25,1,1,1,3,164393,105,3,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974767,Male,10,B,Y,ToM,ToM,Yes,ToM2 Eyes,164085,1126,31,1,1,1,2,164119,520,14,1,1,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,974770,Male,8,B,Y,ToM,ToM,Yes,ToM2 Eyes,163963,966,27,1,1,1,2,166157,169,5,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974771,Male,9,B,Y,ToM,ToM,Yes,ToM2 Eyes,163975,755,21,1,0,1,0,164152,274,8,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974772,Male,8,B,Y,ToM,ToM,Yes,ToM2 Eyes,0,0,0,0,0,0,0,3600,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,974773,Female,10,B,Y,ToM,ToM,Yes,ToM2 Eyes,163593,821,23,1,1,1,2,163803,439,12,1,1,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,974775,Male,10,B,Y,ToM,ToM,Yes,ToM2 Eyes,163876,1688,47,1,1,1,2,164251,648,18,0,1,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,974776,Male,8,B,Y,ToM,ToM,Yes,ToM2 Eyes,164347,249,7,1,0,1,0,164432,123,3,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974780,Female,9,B,Y,ToM,ToM,Yes,ToM2 Eyes,163893,633,18,1,0,1,0,163928,373,10,1,1,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,974781,Female,6,B,Y,ToM,ToM,Yes,ToM2 Eyes,163889,412,11,1,0,1,0,164006,123,3,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974782,Male,7,B,Y,ToM,ToM,Yes,ToM2 Eyes,164327,430,12,1,0,1,0,164367,237,7,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974783,Female,7,B,Y,ToM,ToM,Yes,ToM2 Eyes,0,197,5,1,0,0,0,164423,323,9,1,1,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,974784,Female,8,B,Y,ToM,ToM,Yes,ToM2 Eyes,163961,571,16,1,0,1,0,164353,107,3,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974785,Male,10,B,Y,ToM,ToM,Yes,ToM2 Eyes,164248,421,12,1,0,1,0,164282,317,9,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974786,Female,8,B,Y,ToM,ToM,Yes,ToM2 Eyes,163900,1183,33,1,0,1,0,164223,395,11,1,1,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,974789,Female,7,B,Y,ToM,ToM,Yes,ToM2 Eyes,164357,674,19,1,1,1,2,165582,115,3,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974791,Male,7,B,Y,ToM,ToM,Yes,ToM2 Eyes,163950,701,19,1,0,1,0,163950,503,14,0,1,0,2
,,,,,,,,,,,,,,,,,,,,,,,,,,974794,Male,8,B,Y,ToM,ToM,Yes,ToM2 Eyes,164150,335,9,1,0,1,0,164150,305,8,0,1,0,2
